,avg,lower percentile,max,median,min,std,total_words,upper percentile
bt_1,38702,26896,119442,37610,845,17940," 10,913,906 ",48127
bt_2,40130,26426,100844,35805,995,19704," 9,109,597 ",52706
bt_3,42127,27320,100993,39593,517,21166," 7,077,314 ",58255
bt_4,35432,13934,93990,33268,530,23042," 7,015,462 ",51440
bt_5,37370,12129,95254,36147,144,23793," 9,230,350 ",55852
bt_6,37448,12112,117193,33981,206,25723," 7,452,228 ",56022
bt_7,43424,15294,119173,33490,119,31669," 11,246,721 ",74798
bt_8,45808,16677,101614,34012,204,30033," 10,535,817 ",74711
bt_9,42072,14491,102068,34190,188,28915," 5,974,192 ",69270
bt_10,50849,24293,115431,39032,1050,31936," 13,017,344 ",82976
bt_11,55541,28926,115956,41966,1068,31619," 13,107,757 ",86810
bt_12,59633,32730,140857,49391,1195,33366," 14,490,880 ",91030
bt_13,59843,29758,144762,47017,211,36389," 14,840,962 ",94602
bt_14,67606,36238,144800,56370,2247,36085," 17,171,799 ",103177
bt_15,62029,34898,126391,51668,177,34094," 11,599,487 ",99042
bt_16,69357,34909,311248,55880,3009,41864," 16,160,297 ",100693
bt_17,85072,40176,652366,59187,2493,65986," 21,523,102 ",123476
bt_18,65600,35255,184647,53983,2253,36149," 16,071,955 ",100845
bt_19,74047,44976,149996,70833,2166,36378," 11,403,193 ",91359
,,,,,,," 227,942,363 ",
,,,,,,,,
